Deal ID,Company ID,Company Name,Description,Investor ID,Investor Name,Investor Status,Primary Investor Type,Preferred Industries,Investor HQ,Lead Partner,Lead/Sole,Deal No.,"Total Deal Size (million, USD)",Deal Size Status,Deal Type 1,Deal Class,Company City,Company Post Code,Company Country/Territory,Deal Status,Primary Industry Sector,Primary Industry Group,Primary Industry Code,Verticals,All Industries,Business Status,Financing Status
249733-63T,464342-95,Flowdesk,"Developer of a compliant trading and liquidity infrastructure platform designed to trade efficiently with transparency and control. The company's platform offers a comprehensive infrastructure that connects blockchains, custodians, and service providers with deep liquidity and real-time analytics to improve trust in crypto financial services, enabling token issuers, exchanges, and institutions to manage their finances with open-source, non-custodial technologies while leading in compliance and service.",187980-13,Cathay Innovation,Active Investor,Venture Capital,"Commercial Transportation, Healthcare Devices and Supplies, Healthcare Technology Systems, Insurance, Other Business Products and Services, Other Consumer Products and Services, Other Energy, Other Financial Services, Other Healthcare, Other Information Technology, Software, Transportation","San Francisco, CA",Jacobo Abitbol,Yes,4.0,102.0,Actual,Later Stage VC,Venture Capital,Paris,75001.0,France,Completed,Information Technology,Software,Financial Software,"Cryptocurrency/Blockchain, FinTech",Financial Software*; Other Financial Services,Generating Revenue,Venture Capital-Backed
249733-63T,464342-95,Flowdesk,"Developer of a compliant trading and liquidity infrastructure platform designed to trade efficiently with transparency and control. The company's platform offers a comprehensive infrastructure that connects blockchains, custodians, and service providers with deep liquidity and real-time analytics to improve trust in crypto financial services, enabling token issuers, exchanges, and institutions to manage their finances with open-source, non-custodial technologies while leading in compliance and service.",11180-08,Eurazeo,Active Investor,PE/Buyout,"Commercial Services, Consumer Non-Durables, Energy, Healthcare, Media, Other Financial Services, Retail, Services (Non-Financial), Software, Telecommunications Service Providers","Paris, France",Thomas Turelier,No,4.0,102.0,Actual,Later Stage VC,Venture Capital,Paris,75001.0,France,Completed,Information Technology,Software,Financial Software,"Cryptocurrency/Blockchain, FinTech",Financial Software*; Other Financial Services,Generating Revenue,Venture Capital-Backed
249733-63T,464342-95,Flowdesk,"Developer of a compliant trading and liquidity infrastructure platform designed to trade efficiently with transparency and control. The company's platform offers a comprehensive infrastructure that connects blockchains, custodians, and service providers with deep liquidity and real-time analytics to improve trust in crypto financial services, enabling token issuers, exchanges, and institutions to manage their finances with open-source, non-custodial technologies while leading in compliance and service.",51189-94,HV Capital,Active Investor,Venture Capital,"Consumer Non-Durables, Education and Training Services (B2B), Educational and Training Services (B2C), Healthcare, Retail, Software","Munich, Germany",Kasey Davies,Yes,4.0,102.0,Actual,Later Stage VC,Venture Capital,Paris,75001.0,France,Completed,Information Technology,Software,Financial Software,"Cryptocurrency/Blockchain, FinTech",Financial Software*; Other Financial Services,Generating Revenue,Venture Capital-Backed
272893-60T,530537-68,Wavo (Financial Software),"Developer of a financial platform designed to offer early payments to second-hand market sellers. The company's platform allows sellers to get instant payment advances and assists them with storage, sales, and shipping, enabling firms to get access to capital logistics that are required for their businesses.",434507-50,Tony Parker,Active Investor,Angel (individual),,,Tony Parker,No,2.0,3.64,Actual,Early Stage VC,Venture Capital,Lyon,69003.0,France,Completed,Information Technology,Software,Financial Software,"Artificial Intelligence & Machine Learning, FinTech, SaaS",Financial Software*; Other Financial Services,Generating Revenue,Venture Capital-Backed
285052-87T,512410-51,Smile Wanted Group,"Operator of a digital advertising marketplace intended to connect content publishers and advertisers. The company's technology is based on both behavioral browsing analysis and a real-time bidding algorithm which only selects spaces with high-added value to offer a new generation cookieless supply-side platform (SSP), providing brands with KPIs for awareness consideration and conversion campaigns.",58004-02,Bpifrance,Active Investor,Sovereign Wealth Fund,"Apparel and Accessories, Commercial Products, Commercial Services, Communications and Networking, Consumer Non-Durables, Energy Equipment, Exploration, Production and Refining, Insurance, Media, Other Information Technology, Pharmaceuticals and Biotechnology, Restaurants, Hotels and Leisure, Retail, Software","Paris, France",Ménelé Chesnot,No,1.0,10.37,Actual,Later Stage VC,Venture Capital,Paris,75008.0,France,Completed,Business Products and Services (B2B),Commercial Services,Media and Information Services (B2B),"AdTech, Marketing Tech",Media and Information Services (B2B)*; Other Commercial Services; Publishing; Internet Software,Generating Revenue,Venture Capital-Backed
285052-87T,512410-51,Smile Wanted Group,"Operator of a digital advertising marketplace intended to connect content publishers and advertisers. The company's technology is based on both behavioral browsing analysis and a real-time bidding algorithm which only selects spaces with high-added value to offer a new generation cookieless supply-side platform (SSP), providing brands with KPIs for awareness consideration and conversion campaigns.",184196-98,Elevation Capital Partners,Active Investor,Growth/Expansion,"Business Products and Services (B2B), Communications and Networking, Computer Hardware, Consumer Products and Services (B2C), Energy, Financial Services, IT Services, Other Information Technology, Semiconductors, Software","Paris, France",Benjamin Cohen,Yes,1.0,10.37,Actual,Later Stage VC,Venture Capital,Paris,75008.0,France,Completed,Business Products and Services (B2B),Commercial Services,Media and Information Services (B2B),"AdTech, Marketing Tech",Media and Information Services (B2B)*; Other Commercial Services; Publishing; Internet Software,Generating Revenue,Venture Capital-Backed
284916-61T,426185-92,Germitec,"Manufacturer of disinfection systems intended to develop hospital hygiene systems that radically simplify the lives of healthcare professionals in terms of safety, time and responsibility. The company specializes in ultraviolet light high-level disinfection (UV-C HLD) for reprocessing non-lumen medical devices, enabling medical staff to change clinical practice in reducing cross-infection risk.",11180-08,Eurazeo,Active Investor,PE/Buyout,"Commercial Services, Consumer Non-Durables, Energy, Healthcare, Media, Other Financial Services, Retail, Services (Non-Financial), Software, Telecommunications Service Providers","Paris, France",Arnaud Vincent,Yes,5.0,30.05,Actual,Later Stage VC,Venture Capital,Bordeaux,33000.0,France,Completed,Healthcare,Healthcare Devices and Supplies,Monitoring Equipment,HealthTech,Monitoring Equipment*; Other Devices and Supplies; Decision/Risk Analysis,Generating Revenue,Venture Capital-Backed
279892-63T,599983-75,ToumAI Analytics,"Developer of Artificial Intelligence multilingual voice technology designed to transform customer services. The company's platform allows businesses to make data-driven decisions and improve their customer service performance and impact and helps in navigating customer feedback data to move faster, enabling clients to ensure efficient, inclusive services for every customer, regardless of language or ability.",747303-49,Bruno Akpaka,Active Investor,Angel (individual),,,Bruno Akpaka,No,6.0,1.04,Actual,Early Stage VC,Venture Capital,Cannes,6150.0,France,Completed,Information Technology,Software,Business/Productivity Software,"Artificial Intelligence & Machine Learning, SaaS",Business/Productivity Software*,Generating Revenue,Venture Capital-Backed
284538-79T,512435-89,Anybuddy,"Developer of a sports application intended to find players and pitches for football or tennis matches. The company's platform facilitates access to clubs, reserve and payment options, and booking without license and subscription at the best prices, enabling users to access various tennis courts and multiple play surfaces and pay reservations directly on the application.",752814-82,Benjamin Kayser,Active Investor,Angel (individual),,,Benjamin Kayser,No,4.0,2.07,Actual,Later Stage VC,Venture Capital,La Madelaine,59110.0,France,Completed,Consumer Products and Services (B2C),"Restaurants, Hotels and Leisure","Other Restaurants, Hotels and Leisure",Mobile,"Other Restaurants, Hotels and Leisure*; Information Services (B2C); Application Software",Generating Revenue,Venture Capital-Backed
284538-79T,512435-89,Anybuddy,"Developer of a sports application intended to find players and pitches for football or tennis matches. The company's platform facilitates access to clubs, reserve and payment options, and booking without license and subscription at the best prices, enabling users to access various tennis courts and multiple play surfaces and pay reservations directly on the application.",123834-07,Julien Codorniou,Active Investor,Angel (individual),"Media, Software","London, United Kingdom",Julien Codorniou,No,4.0,2.07,Actual,Later Stage VC,Venture Capital,La Madelaine,59110.0,France,Completed,Consumer Products and Services (B2C),"Restaurants, Hotels and Leisure","Other Restaurants, Hotels and Leisure",Mobile,"Other Restaurants, Hotels and Leisure*; Information Services (B2C); Application Software",Generating Revenue,Venture Capital-Backed
